timestamp,forecast
2019-11-01,1942.334083392293
2019-12-01,2271.8656586792863
2020-01-01,2391.10977958503
2020-02-01,1994.2353046475473
2020-03-01,1960.781970986782
2020-04-01,1775.6137282712873
2020-05-01,1726.7027545717933
2020-06-01,1570.7547484698969
2020-07-01,1536.052908875609
2020-08-01,1591.4599388633858
2020-09-01,1945.0659512724847
2020-10-01,2139.427512440439
2020-11-01,2039.4507875619076
2020-12-01,2385.4589416132508
2021-01-01,2510.6652685642816
2021-02-01,2093.9470698799246
2021-03-01,2058.8210695361213
2021-04-01,1864.3944146848517
2021-05-01,1813.0378923003832
2021-06-01,1649.2924858933918
2021-07-01,1612.8555543193897
2021-08-01,1671.032935806555
2021-09-01,2042.319248836109
2021-10-01,2246.398888062461
2021-11-01,2141.4233269400033
2021-12-01,2504.731888693914
2022-01-01,2636.198531992495
2022-02-01,2198.644423373921
2022-03-01,2161.7621230129275
2022-04-01,1957.6141354190945
2022-05-01,1903.689786915402
2022-06-01,1731.7571101880612
2022-07-01,1693.4983320353595
2022-08-01,1754.584582596883
2022-09-01,2144.4352112779143
2022-10-01,2358.718832465584
2022-11-01,2248.494493287003
2022-12-01,2629.968483128609
2023-01-01,2768.0084585921204
2023-02-01,2308.576644542617
2023-03-01,2269.850229163574
2023-04-01,2055.4948421900494
2023-05-01,1998.8742762611723
2023-06-01,1818.3449656974644
2023-07-01,1778.1732486371275
2023-08-01,1842.313811726727
2023-09-01,2251.65697184181
2023-10-01,2476.6547740888636
2023-11-01,2360.919217951354
2023-12-01,2761.46690728504
2024-01-01,2906.408881521727
2024-02-01,2424.005476769748
2024-03-01,2383.3427406217525
2024-04-01,2158.2695842995518
2024-05-01,2098.817990074231
2024-06-01,1909.2622139823377
2024-07-01,1867.081911068984
2024-08-01,1934.4295023130635
2024-09-01,2364.2398204339006
2024-10-01,2600.487512793307
